,-180,-150,-120,-90,-60,-30,0,30,60,90,120,150
-25,-36.900041818618774,-36.22650194168091,-36.542224168777466,-36.82637357711792,-29.501630783081055,-25.060479998588562,-12.95781683921814,-36.74218130111694,-36.25807428359985,-36.83689761161804,-36.78427743911743,-36.18440580368042
0,-36.531699657440186,-35.11095213890076,-36.18440580368042,-31.438056111335754,-26.481226921081543,-24.523752808570862,-13.094629764556885,-35.889732360839844,-30.417224407196045,-36.62641644477844,-36.56327223777771,-36.4054114818573
25,-36.55274748802185,-36.00549650192261,-32.70094323158264,-30.354079365730286,-29.396390080451965,-32.311553716659546,-26.176029801368713,-35.72134733200073,-32.522034883499146,-34.92151951789856,-36.38436222076416,-36.04759240150452
