26,0,15,26,39
25,0,15,25,38
24,0,12,24,36
23,0,12,23,37
22,0,11,22,34
21,0,11,21,32
20,0,10,20,31
19,0,10,19,29
18,0,9,18,28
17,0,9,17,26
16,0,8,16,25
15,0,8,15,23
14,0,7,14,22
13,0,7,13,20
12,0,6,12,19
11,0,6,11,17
10,0,5,10,16
9,0,5,9,14
8,0,4,8,12
7,0,4,7,11
6,0,3,6,9
5,0,3,5,8
4,0,2,4,6
3,0,2,3,5
2,0,1,2,3
1,0,1,1,2
0,0,2,0,0
-1,0,63,63,62
-2,0,63,62,61
-3,0,62,61,59
-4,0,62,60,58
-5,0,61,59,56
-6,0,61,58,55
-7,0,60,57,53
-8,0,60,56,52
-9,0,59,55,50
-10,0,59,54,48
-11,0,58,53,47
-12,0,58,52,45
-13,0,57,51,44
-14,0,57,50,42
-15,0,56,49,41
-16,0,56,48,39
-17,0,55,47,38
-18,0,55,46,36
-19,0,54,45,35
-20,0,54,44,33
-21,0,53,43,32
-22,0,53,42,30
-23,0,52,41,29
-24,0,52,40,28
-25,0,47,39,26
-26,0,47,38,25
-27,0,46,37,23
